Vendor Name,Vendor ID,Vendor Email,Laptop Model Name,Laptop Model ID,Quoted Price (INR),Available Quantity,Delivery Time (Days),Specs Matching Score,Vendor Rating,Past Orders Count,Reliability Score,Persona Role
Taylor-Myers,V-938,taylor-myers@distributors.com,ROG-5780,M-6944,78251,122,13,0.9,4.8,753,0.98,Developer
Taylor-Myers,V-938,taylor-myers@distributors.com,Pavilion-3838,M-5884,73247,196,11,0.98,4.4,146,0.84,Office
BrightTech Supplies,V-651,brighttech@retailers.com,ROG-1634,M-9997,137235,130,3,0.9,4.9,759,0.96,Gaming
Apex Retailers,V-286,apex@retailers.com,Pavilion-7773,M-1495,79375,172,4,0.97,4.6,241,0.92,Office
Taylor-Myers,V-465,taylor-myers@systems.com,Pavilion-6310,M-3660,142772,176,3,1.0,4.8,582,0.84,Office
Apex Retailers,V-713,apex@systems.com,Inspiron-3253,M-2006,144179,191,9,0.88,4.3,263,0.96,Gaming
Zenith Suppliers,V-153,zenith@suppliers.com,Inspiron-7389,M-7522,109150,148,9,0.93,4.5,840,0.8,Gaming
Zenith Suppliers,V-324,zenith@traders.com,Inspiron-3161,M-3022,57392,118,8,0.82,4.5,763,0.95,Office
Apex Retailers,V-947,apex@traders.com,ROG-1907,M-9430,134664,121,11,0.89,3.8,695,0.78,Gaming
Carpenter PLC,V-675,carpenter@systems.com,ROG-7117,M-6566,62688,184,8,0.91,4.4,709,0.99,Business
Taylor-Myers,V-702,taylor-myers@systems.com,ROG-4943,M-6812,110263,127,11,0.9,4.3,253,0.87,Office
Apex Retailers,V-286,apex@retailers.com,ThinkPad-7104,M-9515,127373,141,10,0.87,3.8,701,0.92,Gaming
NovaTech Systems,V-224,novatech@retailers.com,Pavilion-5933,M-4168,81024,170,8,0.97,4.2,958,0.75,Office
Carpenter PLC,V-675,carpenter@systems.com,ROG-4943,M-6812,96576,150,12,0.82,5.0,470,0.73,Business
Zenith Suppliers,V-324,zenith@traders.com,ROG-7117,M-6566,113208,174,3,0.82,4.0,368,0.79,Developer
Carpenter PLC,V-675,carpenter@systems.com,ROG-5780,M-6944,121211,166,3,0.82,4.3,212,0.84,Office
Galaxy Traders,V-364,galaxy@supplies.com,ROG-1634,M-9997,69508,158,2,0.97,3.9,255,1.0,Gaming
