Manufacturer,Brand,Model Name / Number,Type of Laptop,Screen Size (inches),Screen Type,CPU,RAM,Storage,GPU,Operating System,OS Version,Weight (kg),Price (INR),Rating,Persona Role
Lenovo,Inspiron,Inspiron-1723,Office,16.0,FHD IPS,Intel i7,8GB,1TB SSD,Integrated,Windows,Ventura,1.8,147870,4.1,Office
Lenovo,MacBook,MacBook-4457,Gaming,15.6,QHD OLED,Apple M2,32GB,1TB SSD,Integrated,Windows,12,1.8,78682,3.9,Business
Apple,ROG,ROG-9896,Office,16.0,QHD OLED,Intel i5,16GB,512GB SSD,NVIDIA RTX 4060,Windows,11,1.2,76880,4.5,Developer
Asus,Inspiron,Inspiron-9368,Gaming,16.0,QHD OLED,Ryzen 5,16GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.2,78396,4.2,Gaming
Apple,ThinkPad,ThinkPad-3171,Office,13.3,Retina,Intel i7,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.6,91215,4.7,Developer
HP,Pavilion,Pavilion-6757,Office,16.0,QHD OLED,Intel i5,8GB,1TB SSD,Integrated,Windows,Ventura,1.4,72651,4.9,Gaming
Apple,ThinkPad,ThinkPad-9122,Business,16.0,FHD TN,Ryzen 5,16GB,1TB SSD,NVIDIA RTX 4060,Windows,11,1.2,70648,4.8,Business
Dell,MacBook,MacBook-5167,Business,16.0,QHD OLED,Intel i7,16GB,1TB SSD,Integrated,macOS,Ubuntu 22.04,1.8,83391,4.4,Gaming
Dell,Pavilion,Pavilion-1284,Developer,14.0,FHD TN,Intel i5,16GB,512GB SSD,NVIDIA RTX 3050,macOS,Ventura,1.4,131111,4.8,Student
HP,Pavilion,Pavilion-5284,Gaming,16.0,QHD OLED,Ryzen 5,16GB,512GB SSD,Integrated,macOS,11,1.4,67624,4.7,Student
Apple,ROG,ROG-9825,Business,13.3,FHD TN,Ryzen 7,8GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.4,98467,4.4,Gaming
Lenovo,Inspiron,Inspiron-8885,Developer,15.6,FHD TN,Intel i5,32GB,256GB SSD,Integrated,Linux,11,2.0,74142,4.5,Business
Lenovo,ThinkPad,ThinkPad-7949,Developer,13.3,Retina,Ryzen 7,16GB,1TB SSD,Integrated,Linux,Ventura,1.6,69721,4.5,Gaming
Dell,Inspiron,Inspiron-6714,Office,14.0,FHD TN,Intel i5,16GB,256GB SSD,NVIDIA RTX 4060,Windows,11,1.8,64384,3.8,Student
Apple,ThinkPad,ThinkPad-4889,Office,15.6,QHD OLED,Intel i5,8GB,512GB SSD,NVIDIA RTX 3050,macOS,11,1.8,123237,4.7,Student
HP,MacBook,MacBook-9738,Gaming,16.0,Retina,Ryzen 7,16GB,256GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.8,90090,4.6,Office
Apple,Pavilion,Pavilion-2097,Gaming,13.3,Retina,Intel i5,16GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.2,61569,3.8,Student
Apple,Inspiron,Inspiron-9072,Student,15.6,FHD IPS,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 3050,Windows,12,1.2,54031,3.8,Gaming
Apple,ROG,ROG-3910,Gaming,15.6,Retina,Apple M2,8GB,256GB SSD,Integrated,macOS,Ubuntu 22.04,2.0,142010,4.9,Student
